frame_idx,time_s,speaking,image,duration_s
0,0.0,1,frames_small/anim_Luca_mouth_open.png,0.04
1,0.04,1,frames_small/anim_Luca_mouth_open.png,0.04
2,0.08,1,frames_small/anim_Luca_mouth_closed.png,0.04
3,0.12,1,frames_small/anim_Luca_mouth_closed.png,0.04
4,0.16,1,frames_small/anim_Luca_mouth_closed.png,0.04
5,0.2,1,frames_small/anim_Luca_mouth_open.png,0.04
6,0.24,1,frames_small/anim_Luca_mouth_closed.png,0.04
7,0.28,1,frames_small/anim_Luca_mouth_open.png,0.04
8,0.32,1,frames_small/anim_Luca_mouth_closed.png,0.04
9,0.36,1,frames_small/anim_Luca_mouth_closed.png,0.04
10,0.4,1,frames_small/anim_Luca_mouth_open.png,0.04
11,0.44,1,frames_small/anim_Luca_mouth_closed.png,0.04
12,0.48,1,frames_small/anim_Luca_mouth_closed.png,0.04
13,0.52,0,frames_small/anim_Luca_mouth_closed.png,0.04
14,0.56,0,frames_small/anim_Luca_mouth_closed.png,0.04
15,0.6,0,frames_small/anim_Luca_mouth_closed.png,0.04
16,0.64,0,frames_small/anim_Luca_mouth_closed.png,0.04
17,0.68,0,frames_small/anim_Luca_mouth_closed.png,0.04
18,0.72,0,frames_small/anim_Luca_mouth_closed.png,0.04
19,0.76,0,frames_small/anim_Luca_mouth_closed.png,0.04
20,0.8,0,frames_small/anim_Luca_mouth_closed.png,0.04
21,0.84,0,frames_small/anim_Luca_mouth_closed.png,0.04
22,0.88,0,frames_small/anim_Luca_mouth_closed.png,0.04
23,0.92,0,frames_small/anim_Luca_mouth_closed.png,0.04
24,0.96,0,frames_small/anim_Luca_mouth_closed.png,0.04
25,1.0,0,frames_small/anim_Luca_mouth_closed.png,0.04
26,1.04,1,frames_small/anim_Luca_mouth_open.png,0.04
27,1.08,1,frames_small/anim_Luca_mouth_closed.png,0.04
28,1.12,1,frames_small/anim_Luca_mouth_open.png,0.04
29,1.16,1,frames_small/anim_Luca_mouth_closed.png,0.04
30,1.2,1,frames_small/anim_Luca_mouth_closed.png,0.04
31,1.24,1,frames_small/anim_Luca_mouth_open.png,0.04
32,1.28,1,frames_small/anim_Luca_mouth_open.png,0.04
33,1.32,1,frames_small/anim_Luca_mouth_closed.png,0.04
